Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
476,1.18347,6.85481,-39.9053,3.51537,-7.27729,23.2171,0.0770332,1.88099,-11.8224,-0.966687,6.26691,-39.2227,-0.156359,-10.1057,19.6936,-4.33963,0.285507,-10.6103
477,1.52151,6.96087,-40.2744,4.29469,-7.34048,23.5462,0.68321,2.33619,-11.6121,-0.723435,6.31459,-39.4088,0.558199,-10.2743,19.65,-3.84946,0.721514,-10.2891
478,1.95957,7.09239,-40.7279,5.28924,-7.43335,23.9556,1.4537,2.94029,-11.3494,-0.397122,6.37338,-39.6371,1.4808,-10.4957,19.6074,-3.205,1.30496,-9.89363
479,2.4867,7.24292,-41.2416,6.4663,-7.55905,24.4269,2.36163,3.68527,-11.046,0.00964084,6.44023,-39.8956,2.58651,-10.766,19.5744,-2.41776,2.03049,-9.44389
480,3.08781,7.40487,-41.7879,7.78428,-7.71921,24.9386,3.37356,4.55659,-10.7153,0.490519,6.51162,-40.1701,3.8416,-11.0786,19.5597,-1.50593,2.88626,-8.9625
481,3.74803,7.57111,-42.3415,9.20358,-7.91426,25.4715,4.45816,5.53851,-10.3694,1.03807,6.58429,-40.4478,5.21284,-11.427,19.5713,-0.488487,3.85868,-8.46929
482,4.45493,7.73572,-42.882,10.6917,-8.14372,26.011,5.59035,6.61685,-10.0174,1.64515,6.65558,-40.7185,6.67209,-11.8053,19.6157,0.617766,4.93509,-7.97907
483,5.19911,7.89423,-43.3948,12.2246,-8.40649,26.5472,6.75247,7.78009,-9.66538,2.30548,6.72355,-40.9748,8.19755,-12.2086,19.6978,1.79925,6.10476,-7.50126
484,5.97402,8.04339,-43.8701,13.7859,-8.70099,27.0743,7.93369,9.01936,-9.31628,3.01367,6.78686,-41.2119,9.77319,-12.6335,19.8213,3.04547,7.3589,-7.04052
485,6.77528,8.18097,-44.3018,15.3654,-9.02531,27.5897,9.12872,10.3279,-8.97066,3.76498,6.84464,-41.4268,11.3874,-13.0771,19.9882,4.34834,8.69025,-6.59781
