Frame,LAnkleAngles_X,LHipAngles_X,LKneeAngles_X,LAnkle_avel,LHip_avel,LKnee_avel
0.0,0.0,0.0,0.0,8.520436813186867,9.363093868131932,15.72988571428582
1.0,0.26187,0.29932966666666677,0.46097833333333327,20.18725183150189,23.138004978022035,35.5967032967034
1.0,0.3520383333333333,0.40362966666666655,0.61823,30.99322477522484,35.85020555694311,53.993866733266835
1.0,0.44013333333333327,0.5059833333333332,0.7706816666666669,40.9383556443557,47.49969560489516,70.92137602397612
1.0,0.5035483333333334,0.5847689450000003,0.874183333333333,50.0226444388945,58.08647512187817,86.37923116883125
1.0,0.5664316666666668,0.6609284716666669,0.9766149999999999,58.246091158841224,67.61054410789215,100.36743216783225
1.0,0.64121,0.7451531666666664,1.10244,65.6086958041956,76.07190256293683,112.88597902097867
1.0,0.7096050000000002,0.8208933333333333,1.2159626666666667,70.22936655011634,81.4364952389275,120.3579414918411
1.0,0.772525,0.8886766666666669,1.3197956666666666,75.77189860139836,87.64852416200439,129.5339641025637
1.0,0.8095608333333333,0.9340458333333332,1.3844219999999996,80.99570337995313,93.3161953927736,138.31335920745875
1.0,0.8453133333333329,0.9766549999999997,1.4477566666666668,85.98200699300673,98.59894879137498,146.93803706293662
1.0,0.8977550000000004,1.0281150000000003,1.538998333333333,90.49915792540764,103.30189812004633,155.06104778554732
1.0,0.945773333333333,1.074101666666667,1.6277283333333334,94.49222144522116,107.40355256410226,162.6926501165496
1.0,0.989075,1.1155966666666657,1.7154583333333335,98.23754603729571,111.29382051282016,170.6781599067594
1.0,1.0213400000000001,1.151876666666667,1.7901066666666667,101.74423193473162,115.02343123543088,179.00671864801814
1.0,1.0497883333333335,1.1851916666666675,1.866521666666668,105.00272785547753,118.50308624708589,187.38651142191088
1.0,1.0764733333333334,1.2140666666666664,1.9502049999999993,107.77055128205097,121.61804778554742,195.5417202797197
1.0,1.0993766666666662,1.243201666666666,2.036801666666667,109.98312703962671,124.39655303030264,203.42310256410198
1.0,1.1219416666666668,1.2772283333333332,2.133006666666667,111.91898601398566,127.11828146853108,211.47888578088515
1.0,1.1345166666666668,1.296329166666667,2.19486,113.60404895104861,129.73692482517444,219.61323659673593
1.0,1.1455250000000001,1.312221666666667,2.2544633333333324,115.04097435897401,132.17989102564064,227.70691025640957
1.0,1.1604116666666666,1.3413233333333328,2.346646666666667,116.19011771561735,134.45980361305323,235.56197902097827
1.0,1.1717749999999996,1.3686383333333338,2.4341,117.04119930069893,136.63614976689934,243.0688624708617
1.0,1.1800750000000002,1.393143333333333,2.514016666666666,117.5711258741255,138.63471736596694,250.15013869463792
1.0,1.1797750000000002,1.4041925000000004,2.571983333333335,117.80082400932365,140.30711946386901,256.6344300699293
1.0,1.1767999999999992,1.4148166666666666,2.6254499999999994,117.84377389277353,141.77657867132825,262.6403333333325
1.0,1.1744166666666667,1.4300333333333335,2.678883333333331,117.57185314685279,142.99995979020937,267.7275664335656
1.0,1.1677666666666668,1.4420833333333318,2.72116666666667,116.91777156177119,143.82346503496456,271.64248484848406
1.0,1.1577750000000002,1.4442833333333336,2.750458333333333,115.96737762237727,144.3195763403259,274.78018648018565
1.0,1.1491166666666672,1.4413083333333354,2.769883333333334,114.79150932400898,144.62415967365925,277.34863636363553
1.0,1.1375833333333325,1.4474833333333326,2.790766666666665,113.40746503496467,144.82384557109512,279.47072261072174
1.0,1.1170500000000005,1.4528999999999996,2.8071333333333346,111.71217948717913,144.91209207459164,281.03772727272644
1.0,1.0946666666666658,1.4460333333333326,2.816258333333334,109.67345571095537,144.80607226107182,282.05665501165413
1.0,1.0732666666666664,1.4394000000000027,2.824349999999999,107.3320629370626,144.47173076923033,282.5667307692299
1.0,1.0500250000000007,1.4399833333333316,2.8285499999999986,104.72388694638661,143.98587412587366,282.5478554778546
1.0,1.0200833333333321,1.436149999999999,2.821683333333332,101.89581585081554,143.33114801864753,281.9899825174816
1.0,0.9868333333333345,1.4304000000000006,2.8071666666666686,98.85072843822815,142.38413170163125,280.62548368298275
1.0,0.9538666666666676,1.4115333333333335,2.782883333333331,95.61887529137499,141.19622960372917,278.3583508158499
1.0,0.921008333333333,1.3919333333333335,2.7493333333333356,92.17622960372931,139.79980186480142,275.0903321678313
1.0,0.8882999999999995,1.3803333333333327,2.7116249999999993,88.56720862470834,138.10110139860095,270.78549533799446
1.0,0.8521666666666666,1.3651500000000005,2.664833333333332,84.84701048951023,136.09121794871757,265.4983916083908
1.0,0.809466666666666,1.3410166666666672,2.5959166666666675,81.08191724941702,133.89738344988305,259.3185722610715
1.0,0.7703583333333336,1.314491666666667,2.5215333333333327,77.25668997668973,131.618939393939,252.28300116550037
1.0,0.7334583333333337,1.289441666666666,2.4430166666666686,73.31699883449858,129.21382284382244,244.373927738927
1.0,0.6962833333333345,1.2649583333333343,2.362533333333334,69.42343822843802,126.60685314685276,235.99098484848412
1.0,0.6575999999999992,1.2374999999999996,2.275983333333334,65.72222610722592,123.7733624708621,227.49326340326274
1.0,0.6211833333333333,1.2090583333333325,2.186816666666664,62.263747086246916,120.80987179487141,219.0485955710949
1.0,0.5859999999999991,1.1802500000000016,2.0976166666666685,59.02483100233084,117.81536713286678,210.80331585081518
1.0,0.5535000000000002,1.1427583333333304,2.011908333333332,55.92072843822828,114.62590326340293,202.6476748251742
1.0,0.5318833333333352,1.1110583333333353,1.9496416666666672,53.012604895104715,111.14923659673626,194.67378205128145
1.0,0.5078833333333334,1.0743166666666675,1.8792833333333334,50.299073426573266,107.25542540792506,186.78094405594348
