Frame,LAnkleAngles_X,LHipAngles_X,LKneeAngles_X,LAnkle_avel,LHip_avel,LKnee_avel
0.0,0.0,0.0,0.0,1.4699871794871822,1.5540281135531187,4.708092985347998
1.0,0.044420000000000015,0.04539833333333343,0.1257238333333334,3.388010073260075,3.4927960622710685,9.467151153846169
1.0,0.061983333333333314,0.06337499999999992,0.16743233333333327,5.222221361971362,5.3668731934732,13.87030674325676
1.0,0.07124583333333341,0.07355999999999996,0.18862458333333318,6.972621045621044,7.176259507159515,17.917559753579773
1.0,0.08420666666666636,0.08862333333333328,0.21520916666666648,8.639209124209122,8.920955003330011,21.60891018481521
1.0,0.10475666666666687,0.11034999999999995,0.2544896666666669,10.221985597735594,10.60095968198469,24.94435803696306
1.0,0.11647000000000014,0.12110500000000012,0.2749799166666665,11.72095046620043,12.216273543123506,27.92390331002322
1.0,0.1254683333333334,0.13010833333333327,0.2902386666666665,12.878057692307653,13.493137937062897,29.595191783216684
1.0,0.14156999999999986,0.14839133333333343,0.3170746666666669,14.18112179487175,14.911858857808813,31.713602400932302
1.0,0.15519083333333328,0.16374275000000008,0.3383380333333334,15.470283799533751,16.338080244755197,33.78310241258731
1.0,0.16776916666666655,0.17915916666666662,0.3575076333333333,16.661636363636312,17.707174009323957,35.63828948717938
1.0,0.18271416666666673,0.19758699999999996,0.3811068333333334,17.830715034964975,19.11257348484843,37.445026270396156
1.0,0.19166000000000014,0.2078466666666666,0.39551074999999997,19.150678904428847,20.78135163170157,39.54395827505815
1.0,0.2001433333333332,0.21880383333333323,0.4092385000000001,20.49998537296031,22.585355419580353,41.71859738927726
1.0,0.21505500000000008,0.24017233333333346,0.4335238333333333,21.781274358974294,24.392999766899695,43.82197012820498
1.0,0.23124666666666674,0.2626708333333333,0.46030716666666643,23.15162045454538,26.361995629370547,46.13200032634018
1.0,0.24935249999999998,0.2881696666666667,0.4915249999999998,24.629786421911348,28.529105244755158,48.66510177156162
1.0,0.2656691666666668,0.31531766666666655,0.5198121666666667,26.182935023309938,30.928991258741164,51.34999079254063
1.0,0.277640833333333,0.3361533333333335,0.5409816666666666,27.922689801864706,33.68235116550107,54.36757960372944
