,Time,Left_Ankle,Left_Knee,Left_Hip
0,0.02,0.8740997314453125,7.1624755859375,5.14495849609375
1,0.04,1.6521530151367188,7.9198455810546875,5.68902587890625
2,0.06,4.077491760253906,12.746231079101562,8.08966064453125
3,0.08,6.496185302734375,18.420333862304688,11.349105834960938
4,0.1,7.85198974609375,22.676742553710938,14.810440063476562
5,0.12,13.298263549804688,34.50312805175781,22.306976318359375
6,0.14,15.966323852539062,38.48197937011719,23.656036376953125
7,0.16,19.427345275878906,44.968414306640625,26.703475952148438
8,0.18,20.210044860839844,48.47874450683594,30.502716064453125
9,0.2,25.036331176757812,53.59819030761719,31.456878662109375
10,0.22,26.908905029296875,57.235877990722656,31.486892700195312
11,0.24,27.689361572265625,60.28367614746094,36.58477783203125
12,0.26,29.503337860107422,65.41153717041016,40.571807861328125
13,0.28,31.854949951171875,70.1487045288086,42.96507263183594
14,0.3,34.835533142089844,77.60247039794922,48.64677429199219
15,0.32,35.98133850097656,81.52682495117188,52.44239807128906
16,0.34,37.21027755737305,86.59333038330078,57.524688720703125
17,0.36,39.17435836791992,92.73821258544922,62.749183654785156
18,0.38,41.438934326171875,97.12109375,64.9443359375
19,0.4,42.0483283996582,98.98707580566406,65.81815338134766
20,0.42,41.517765045166016,100.15316772460938,68.02178955078125
21,0.44,42.106300354003906,103.09873962402344,71.49041748046875
22,0.46,42.11568069458008,103.7953109741211,72.39002990722656
23,0.48,42.12086868286133,104.46737670898438,73.058837890625
24,0.5,42.07846450805664,105.48814392089844,75.1709976196289
25,0.52,42.086605072021484,106.86259460449219,77.1356201171875
26,0.54,41.496829986572266,107.56944274902344,79.55619049072266
27,0.56,41.4674186706543,107.56310272216797,79.59131622314453
28,0.58,40.91122817993164,107.02613067626953,80.17742156982422
29,0.6,40.28360366821289,106.11974334716797,79.91780090332031
30,0.62,38.51652526855469,104.01082611083984,80.2488784790039
31,0.64,37.370059967041016,103.5593032836914,81.48597717285156
32,0.66,36.2142448425293,102.47809600830078,80.87794494628906
33,0.68,36.16839599609375,101.34485626220703,80.6144790649414
34,0.7,34.62631607055664,98.77129364013672,79.1829605102539
35,0.72,34.62337875366211,97.00989532470703,77.00804901123047
36,0.74,34.587646484375,95.60977935791016,75.20198059082031
37,0.76,34.12351608276367,94.74984741210938,74.22307586669922
38,0.78,33.49481964111328,92.38359832763672,72.04541778564453
39,0.8,33.04525375366211,89.97740173339844,69.97061920166016
40,0.82,32.59284210205078,87.10824584960938,65.118408203125
41,0.84,31.946781158447266,86.2844009399414,64.94486999511719
42,0.86,31.25240707397461,81.25634002685547,58.71923065185547
43,0.88,28.434188842773438,74.0024185180664,51.34281921386719
44,0.9,27.336227416992188,69.47811889648438,47.920684814453125
45,0.92,27.284679412841797,67.2994155883789,44.66912841796875
46,0.94,25.78711700439453,61.77146911621094,41.21734619140625
47,0.96,23.942062377929688,57.21453094482422,37.798553466796875
48,0.98,21.344749450683594,50.24971008300781,32.97431945800781
49,1.0,19.684120178222656,47.57783508300781,30.762908935546875
50,1.02,17.42131805419922,44.319091796875,32.04161071777344
51,1.04,13.889328002929688,38.44990539550781,29.26513671875
52,1.06,12.944122314453125,36.73936462402344,27.208114624023438
53,1.08,11.470062255859375,31.131973266601562,22.56689453125
54,1.1,9.21356201171875,26.187271118164062,19.347503662109375
55,1.12,7.76593017578125,21.759307861328125,15.146530151367188
56,1.14,2.37744140625,10.312271118164062,8.491546630859375
57,1.16,2.4138641357421875,9.467514038085938,7.0651092529296875
58,1.18,2.4011459350585938,9.322479248046875,6.9285125732421875
59,1.2,2.428558349609375,8.42010498046875,5.9723968505859375
60,1.22,0.8780136108398438,6.025360107421875,5.13531494140625
61,1.24,0.85784912109375,5.383758544921875,3.9605255126953125
62,1.26,1.6099395751953125,6.9411163330078125,5.343658447265625
63,1.28,1.6554031372070312,6.1975555419921875,3.98870849609375
64,1.3,2.3589096069335938,7.756011962890625,5.4176177978515625
65,1.32,1.6600112915039062,7.669952392578125,6.6132049560546875
66,1.34,2.390655517578125,10.092208862304688,8.867218017578125
67,1.36,6.280189514160156,17.897842407226562,12.798446655273438
68,1.38,7.7119903564453125,21.180633544921875,15.209274291992188
69,1.4,10.707130432128906,27.399490356445312,19.580459594726562
70,1.42,12.104736328125,32.56585693359375,24.4139404296875
71,1.44,15.187446594238281,38.37904357910156,27.291610717773438
72,1.46,18.429710388183594,43.67530822753906,30.48516845703125
73,1.48,20.1654052734375,49.3447265625,34.951812744140625
74,1.5,22.86664581298828,52.35789489746094,36.52101135253906
75,1.52,25.108802795410156,58.19432067871094,40.48097229003906
76,1.54,26.96969223022461,61.31391143798828,40.83921813964844
77,1.56,28.093929290771484,63.28321838378906,41.530059814453125
78,1.58,30.26734161376953,69.28291320800781,46.081390380859375
79,1.6,32.78605651855469,73.48823547363281,47.197906494140625
80,1.62,34.384613037109375,77.75613403320312,50.516998291015625
81,1.64,36.01331329345703,79.9457778930664,51.561767578125
82,1.66,37.03932189941406,83.71398162841797,55.56224822998047
83,1.68,37.882240295410156,86.19622039794922,57.870323181152344
84,1.7,39.653839111328125,89.98062133789062,61.63740539550781
85,1.72,41.432918548583984,93.80781555175781,64.24798583984375
86,1.74,42.076393127441406,95.48086547851562,66.2545394897461
87,1.76,42.09851837158203,97.32451629638672,67.80723571777344
88,1.78,42.05607223510742,96.89191436767578,67.4229965209961
89,1.8,42.077659606933594,97.96605682373047,68.92456817626953
90,1.82,42.65058898925781,98.96002960205078,69.46051025390625
91,1.84,42.66145706176758,99.58521270751953,69.40536499023438
