Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
493,5.6434,4.44142,-22.2207,0.792303,-10.2357,13.9962,2.38977,2.00888,-6.84608,3.52884,1.5755,-18.5687,-2.27105,-9.14828,4.36095,0.942793,0.652082,-13.5853
494,5.64549,4.42038,-22.1388,0.874353,-10.2443,13.9261,2.46412,2.01368,-6.84372,3.52934,1.55446,-18.3717,-2.23928,-9.13343,4.15991,0.943935,0.636127,-13.5985
495,5.65383,4.39428,-22.0371,0.985368,-10.2569,13.8303,2.56944,2.02491,-6.83033,3.53452,1.52904,-18.1333,-2.19292,-9.11503,3.90756,0.95634,0.618518,-13.6061
496,5.67109,4.36441,-21.9205,1.12493,-10.2741,13.7086,2.70766,2.04477,-6.80102,3.54657,1.5008,-17.868,-2.13049,-9.094,3.61434,0.985312,0.601198,-13.6031
497,5.69961,4.33224,-21.7948,1.29133,-10.2961,13.5624,2.87937,2.07502,-6.75154,3.56749,1.47148,-17.592,-2.05112,-9.0714,3.29272,1.03567,0.586085,-13.585
498,5.74124,4.29919,-21.6655,1.48245,-10.3229,13.3935,3.0844,2.11686,-6.6787,3.59892,1.4426,-17.3197,-1.95435,-9.04823,2.95415,1.11137,0.574732,-13.5476
499,5.79732,4.26645,-21.5372,1.69624,-10.3545,13.2043,3.32229,2.17095,-6.58042,3.64215,1.41533,-17.062,-1.83991,-9.02536,2.60771,1.2155,0.568229,-13.4881
500,5.86878,4.23497,-21.4136,1.93099,-10.3911,12.9972,3.59255,2.23751,-6.45566,3.69822,1.39049,-16.8267,-1.70753,-9.00347,2.25975,1.35051,0.567238,-13.4043
501,5.95631,4.20554,-21.298,2.18538,-10.4325,12.7749,3.89486,2.3165,-6.30418,3.76807,1.36857,-16.6186,-1.55684,-8.98311,1.91425,1.5185,0.572096,-13.2946
502,6.06047,4.17884,-21.1929,2.45842,-10.4787,12.5403,4.22912,2.40774,-6.12633,3.85261,1.34983,-16.4403,-1.38723,-8.96476,1.57331,1.72152,0.582929,-13.158
503,6.18182,4.1555,-21.101,2.74944,-10.5298,12.2966,4.5955,2.51103,-5.92287,3.95287,1.33436,-16.2928,-1.19787,-8.9489,1.23781,1.96178,0.599759,-12.9933
504,6.321,4.13617,-21.0248,3.05798,-10.5856,12.0474,4.99444,2.6263,-5.69484,4.07004,1.32219,-16.1766,-0.9876,-8.93601,0.907932,2.24184,0.622583,-12.7996
505,6.47885,4.12156,-20.9672,3.38377,-10.6463,11.7966,5.42662,2.75361,-5.44343,4.20554,1.31329,-16.0915,-0.754982,-8.92665,0.58355,2.56473,0.651415,-12.5758
506,6.65632,4.11243,-20.9314,3.72667,-10.712,11.5487,5.89299,2.89329,-5.16989,4.36099,1.30764,-16.0374,-0.498278,-8.92144,0.264503,2.93393,0.686312,-12.3208
507,6.85461,4.10961,-20.9205,4.08672,-10.7826,11.3083,6.39471,3.04586,-4.87553,4.53823,1.30523,-16.0143,-0.215467,-8.9211,-0.049268,3.35338,0.727363,-12.0332
508,7.07507,4.11396,-20.9379,4.46414,-10.8583,11.0801,6.93318,3.21213,-4.56158,4.7393,1.30606,-16.0222,0.0957228,-8.92644,-0.357683,3.82745,0.774669,-11.7117
509,7.3192,4.12632,-20.987,4.85935,-10.9392,10.869,7.51002,3.39318,-4.22921,4.96635,1.31015,-16.0614,0.437787,-8.93832,-0.66054,4.36083,0.828307,-11.3548
510,7.58863,4.14752,-21.071,5.273,-11.0253,10.6797,8.12705,3.59031,-3.87945,5.22163,1.31753,-16.132,0.813393,-8.95765,-0.957572,4.9584,0.888288,-10.9611
511,7.8851,4.17833,-21.1928,5.70601,-11.1167,10.5164,8.78625,3.80504,-3.51314,5.50744,1.32823,-16.2344,1.22532,-8.9854,-1.2485,5.62513,0.954512,-10.5292
512,8.21035,4.21939,-21.3545,6.15956,-11.2137,10.3832,9.48975,4.03909,-3.1309,5.82598,1.34226,-16.3686,1.67638,-9.0225,-1.53308,6.3659,1.02673,-10.0579
