Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
343,2.25164,7.4527,-41.9693,4.82215,-10.4439,26.598,-0.254445,2.74789,-13.473,0.525264,6.56804,-40.391,3.29469,-7.98916,21.0021,-2.1995,2.01876,-9.62628
344,2.36287,7.47923,-42.0576,5.09351,-10.3533,26.5392,0.0507022,2.90463,-13.2333,0.725334,6.59376,-40.4884,3.6241,-8.17462,20.949,-1.791,2.33056,-9.41836
345,2.52889,7.51662,-42.1813,5.48307,-10.2586,26.4889,0.469866,3.14988,-12.9284,0.990462,6.6268,-40.6132,4.07086,-8.41437,20.8909,-1.25737,2.75192,-9.16342
346,2.75658,7.5653,-42.3413,6,-10.1738,26.4616,1.00437,3.49883,-12.5689,1.31699,6.66613,-40.7613,4.63357,-8.702,20.8349,-0.61003,3.28118,-8.87517
347,3.05019,7.62499,-42.5364,6.64762,-10.1127,26.471,1.65015,3.96237,-12.1683,1.6985,6.7104,-40.9272,5.30529,-9.0287,20.7887,0.134029,3.91209,-8.56905
348,3.41171,7.69479,-42.7629,7.42508,-10.0866,26.5285,2.40053,4.54726,-11.7393,2.12815,6.7582,-41.1056,6.07679,-9.38567,20.7591,0.95733,4.63714,-8.25888
349,3.84137,7.77332,-43.0159,8.32872,-10.104,26.6416,3.24797,5.25673,-11.2928,2.59992,6.80829,-41.2916,6.93852,-9.76533,20.7518,1.84451,5.44947,-7.95536
350,4.33804,7.85874,-43.289,9.35296,-10.1701,26.8148,4.18496,6.09126,-10.8372,3.10912,6.85958,-41.481,7.88145,-10.1616,20.771,2.78323,6.34369,-7.6658
351,4.89948,7.9488,-43.5748,10.4908,-10.288,27.0493,5.20437,7.04914,-10.3782,3.65234,6.91115,-41.6704,8.89735,-10.5701,20.8198,3.76417,7.31596,-7.39448
352,5.52251,8.04091,-43.8647,11.7343,-10.4586,27.344,6.29956,8.12688,-9.91991,4.22721,6.96214,-41.8567,9.97863,-10.9875,20.9003,4.78043,8.36376,-7.14328
353,6.20316,8.13216,-44.1497,13.0742,-10.6813,27.6956,7.46434,9.31947,-9.46489,4.83204,7.01172,-42.0368,11.1181,-11.4115,21.0134,5.82701,9.48534,-6.91231
354,6.93666,8.21948,-44.4205,14.5007,-10.9545,28.0992,8.69301,10.6204,-9.01458,5.46549,7.05899,-42.2076,12.3087,-11.8402,21.1596,6.90025,10.6793,-6.70038
355,7.71753,8.29969,-44.6675,16.0027,-11.2759,28.5488,9.98039,12.0217,-8.56957,6.12633,7.10297,-42.3659,13.5435,-12.2725,21.3382,7.99752,11.9439,-6.50537
356,8.53971,8.36972,-44.882,17.5686,-11.642,29.0374,11.3219,13.514,-8.12961,6.8132,7.14259,-42.5079,14.8154,-12.7075,21.5479,9.1171,13.2772,-6.32438
357,9.39662,8.42675,-45.0557,19.1864,-12.049,29.5577,12.7138,15.0863,-7.69366,7.52453,7.17665,-42.6297,16.1172,-13.1445,21.7868,10.2582,14.676,-6.1538
358,10.2814,8.46838,-45.1821,20.8434,-12.492,30.1022,14.153,16.7265,-7.2598,8.25846,7.20393,-42.7271,17.442,-13.5834,22.0522,11.4211,16.1365,-5.9893
359,11.1872,8.49284,-45.2562,22.5273,-12.9655,30.6638,15.6375,18.4214,-6.82524,9.01284,7.22316,-42.7957,18.7834,-14.0242,22.3407,12.6073,17.6535,-5.82577
360,12.1073,8.49904,-45.275,24.2259,-13.4632,31.2359,17.166,20.1571,-6.38631,9.78524,7.23313,-42.8316,20.135,-14.4674,22.6487,13.8196,19.2209,-5.65734
361,13.0354,8.48674,-45.2378,25.9278,-13.9782,31.813,18.7382,21.9192,-5.93855,10.573,7.23278,-42.8309,21.4917,-14.914,22.9723,15.0619,20.8314,-5.47737
362,13.9659,8.45647,-45.1461,27.6226,-14.503,32.3905,20.3539,23.6937,-5.47688,11.3732,7.2212,-42.7903,22.8488,-15.3653,23.3077,16.3396,22.4768,-5.27857
363,14.8941,8.40955,-45.0036,29.3011,-15.0297,32.9654,22.0136,25.467,-4.99575,12.183,7.19774,-42.7073,24.2027,-15.8227,23.6511,17.6591,24.1481,-5.05315
364,15.8159,8.34796,-44.8157,30.9553,-15.5506,33.5357,23.7176,27.2266,-4.48939,12.999,7.16205,-42.5802,25.5507,-16.288,23.9998,19.0274,25.8355,-4.79305
365,16.7286,8.27417,-44.5895,32.5789,-16.0576,34.1006,25.4659,28.9612,-3.95203,13.8183,7.1141,-42.4085,26.891,-16.7629,24.3515,20.4518,27.5288,-4.49019
